User number,Q1: How many times a year do you do a DIY project?,Q2: About how much do you spend on home-improvement each year?,Q3: Do you plan to complete a DIY project that involves painting in the next year?,"Q4: If you answered yes to question 3, about how much do you plan to spend on indoor paint for the project?","Q5: If you answered yes to question 3, how likely are you to try an indoor paint offered by Meer-Kitty for your project?",Q6: What are your favorite indoor paint colors?,Q6: What are your favorite indoor paint colors?,,,
749,01-02-2021,Less than $100,Yes,Less than $50,Somewhat likely,"red, orange",red, orange,,
854,03-05-2021,$101-$250,No,,,lime,lime,,,
721,none,Less than $100,No,,,Indigo,Indigo,,,
772,01-02-2021,"$501-$1,000",Yes,$101-$250,Very likely,"pink, blue, purple",pink, blue, purple,
923,01-02-2021,"$501-$1,000",No,,,Green,Green,,,
129,03-05-2021,Less than $100,No,,,olive,olive,,,
919,none,Less than $100,No,,,Navy,Navy,,,
603,01-02-2021,"More than $1,000",Yes,Less than $50,Somewhat likely,Yellow,Yellow,,,
314,none,Less than $100,No,,,,,,,
245,03-05-2021,"$501-$1,000",Yes,$101-$250,Unlikely,"Brown, Tan, Gray",Brown, Tan, Gray,
653,03-05-2021,Less than $100,No,,,,,,,
141,01-02-2021,"$501-$1,000",Yes,$51-$100,Somewhat likely,"Aqua, Turquoise, Teal",Aqua, Turquoise, Teal,
529,none,Less than $100,Yes,Less than $50,Unlikely,"beige, cream",beige, cream,,
256,none,Less than $100,No,,,aquamarine,aquamarine,,,
682,none,Less than $100,Yes,$51-$100,Somewhat likely,"White, ecru",White, ecru,,
511,01-02-2021,$101-$250,No,,,Red,Red,,,
920,01-02-2021,"$501-$1,000",Yes,Less than $50,Very likely,Orange,Orange,,,
329,none,Less than $100,No,,,,,,,
396,01-02-2021,Less than $100,Yes,$51-$100,Unlikely,green,green,,,
469,7 or more,"$501-$1,000",Yes,Less than $50,Somewhat likely,Blue,Blue,,,
499,none,$101-$250,No,,,Purple,Purple,,,
232,none,Less than $100,No,,,,,,,
910,none,Less than $100,Yes,$101-$250,Very likely,Magenta,Magenta,,,
769,03-05-2021,$101-$250,Yes,Less than $50,Somewhat likely,,,,,
361,03-05-2021,"$501-$1,000",No,,,Cyan,Cyan,,,
592,01-02-2021,$251-$500,No,,,olive,olive,,,
485,01-02-2021,"$501-$1,000",No,,,maroon,maroon,,,
905,01-02-2021,Less than $100,Yes,Less than $50,Very likely,Navy,Navy,,,
917,none,Less than $100,Yes,$101-$250,Somewhat likely,,,,,
342,01-02-2021,"More than $1,000",No,,,Turquoise,Turquoise,,,
528,01-02-2021,$101-$250,No,,,Silver,Silver,,,
855,03-05-2021,"$501-$1,000",Yes,Less than $50,Unlikely,lime,lime,,,
547,01-02-2021,Less than $100,No,,,,,,,
937,01-02-2021,"$501-$1,000",No,,,indigo,indigo,,,
242,03-05-2021,$101-$250,No,,,Violet,Violet,,,
922,none,Less than $100,Yes,$51-$100,Somewhat likely,"Blue, purple",Blue, purple,,
506,none,Less than $100,No,,,,,,,
988,01-02-2021,$101-$250,Yes,Less than $50,Somewhat likely,Yellow,Yellow,,,
612,03-05-2021,$251-$500,No,,,green,green,,,
602,01-02-2021,Less than $100,Yes,Less than $50,Unlikely,olive,olive,,,
918,03-05-2021,$101-$250,No,,,Navy,Navy,,,
599,none,Less than $100,No,,,,,,,
620,01-02-2021,"$501-$1,000",Yes,$101-$250,Very likely,"tan, gray",tan, gray,,
206,01-02-2021,"$501-$1,000",No,,,lime,lime,,,
304,03-05-2021,Less than $100,No,,,indigo,indigo,,,
352,none,Less than $100,No,,,pink,pink,,,
389,01-02-2021,"More than $1,000",Yes,Less than $50,Somewhat likely,Orange,Orange,,,
185,none,Less than $100,No,,,green,green,,,
210,03-05-2021,"$501-$1,000",No,,,Magenta,Magenta,,,
350,03-05-2021,Less than $100,No,,,Cyan,Cyan,,,
127,01-02-2021,"$501-$1,000",Yes,$51-$100,Unlikely,White,White,,,
385,none,Less than $100,No,,,,,,,
924,none,Less than $100,Yes,Less than $50,Somewhat likely,gray,gray,,,
435,none,Less than $100,No,,,pink,pink,,,
330,01-02-2021,$101-$250,No,,,,,,,
535,01-02-2021,"$501-$1,000",Yes,Less than $50,Very likely,"teal, light blue",teal, light blue,,
731,none,Less than $100,No,,,,,,,
518,01-02-2021,Less than $100,Yes,$51-$100,Unlikely,Yellow,Yellow,,,
861,7 or more,"$501-$1,000",Yes,Less than $50,Somewhat likely,"Blue, Gray",Blue, Gray,,
138,none,$101-$250,No,,,,,,,
218,none,Less than $100,No,,,,,,,
998,none,Less than $100,Yes,$101-$250,Somewhat likely,red,red,,,
915,03-05-2021,$101-$250,Yes,Less than $50,Very likely,"tan, gray",tan, gray,,
732,03-05-2021,"$501-$1,000",No,,,,,,,
622,01-02-2021,$251-$500,No,,,Aqua,Aqua,,,
358,01-02-2021,"$501-$1,000",No,,,,,,,
440,01-02-2021,Less than $100,Yes,Less than $50,Unlikely,"Blue, purple",Blue, purple,,
398,none,Less than $100,Yes,$101-$250,Somewhat likely,Yellow,Yellow,,,
579,01-02-2021,"More than $1,000",No,,,,,,,
669,01-02-2021,$101-$250,No,,,White,White,,,
225,03-05-2021,"$501-$1,000",Yes,Less than $50,Very likely,Black,Black,,,
758,01-02-2021,Less than $100,No,,,lime,lime,,,
374,01-02-2021,"$501-$1,000",No,,,indigo,indigo,,,
792,03-05-2021,$101-$250,No,,,pink,pink,,,
776,none,Less than $100,Yes,$51-$100,Unlikely,gray,gray,,,
366,none,Less than $100,No,,,,,,,
447,01-02-2021,$101-$250,Yes,Less than $50,Somewhat likely,"purple, blue",purple, blue,,
221,03-05-2021,Less than $100,No,,,"red, brown",red, brown,,
301,01-02-2021,"$501-$1,000",Yes,Less than $50,Very likely,,,,,
576,03-05-2021,$101-$250,No,,,"gray, silver, copper",gray, silver, copper,
427,none,Less than $100,No,,,"yellow, orange, beige",yellow, orange, beige,
687,01-02-2021,Less than $100,Yes,$101-$250,Very likely,,,,,
892,01-02-2021,$101-$250,No,,,,,,,
207,03-05-2021,"$501-$1,000",No,,,"cream, brown, rust",cream, brown, rust,
972,none,$251-$500,No,,,green,green,,,
692,01-02-2021,"$501-$1,000",Yes,Less than $50,Somewhat likely,green,green,,,
151,none,Less than $100,No,,,Magenta,Magenta,,,
777,03-05-2021,Less than $100,Yes,$101-$250,Unlikely,Cyan,Cyan,,,
498,03-05-2021,"More than $1,000",No,,,"orange, rust, red, copper",orange, rust, red, copper
155,01-02-2021,$101-$250,Yes,$51-$100,Somewhat likely,blue,blue,,,
530,none,"$501-$1,000",Yes,Less than $50,Unlikely,Pink,Pink,,,
879,none,Less than $100,No,,,,,,,
741,none,"$501-$1,000",Yes,$51-$100,Somewhat likely,"teal, light blue",teal, light blue,,
759,01-02-2021,$101-$250,No,,,,,,,
983,03-05-2021,Less than $100,Yes,Less than $50,Very likely,"yellow, orange, red, white",yellow, orange, red, white
645,none,Less than $100,No,,,,,,,
263,none,$101-$250,Yes,$51-$100,Unlikely,Light blue,Light blue,,,
735,01-02-2021,$251-$500,Yes,Less than $50,Somewhat likely,brown,brown,,,
763,03-05-2021,Less than $100,No,,,,,,,
888,none,$101-$250,No,,,,,,,
169,none,Less than $100,Yes,$101-$250,Unlikely,"Green, Yellow",Green, Yellow,,
752,03-05-2021,"$501-$1,000",Yes,Less than $50,Very likely,"tan, gray",tan, gray,,
727,03-05-2021,"$501-$1,000",No,,,,,,,
408,01-02-2021,Less than $100,No,,,,,,,
501,01-02-2021,Less than $100,No,,,,,,,
869,01-02-2021,"More than $1,000",Yes,Less than $50,Unlikely,Red,Red,,,
908,none,Less than $100,Yes,$101-$250,Somewhat likely,"teal, light blue",teal, light blue,,
217,01-02-2021,"$501-$1,000",No,,,,,,,
997,01-02-2021,Less than $100,No,,,,,,,
411,03-05-2021,"$501-$1,000",Yes,Less than $50,Somewhat likely,Yellow,Yellow,,,
544,01-02-2021,Less than $100,No,,,lime,lime,,,
471,01-02-2021,Less than $100,No,,,indigo,indigo,,,
115,03-05-2021,Less than $100,No,,,pink,pink,,,
641,none,$101-$250,Yes,$51-$100,Very likely,black,black,,,
818,none,"$501-$1,000",No,,,,,,,
147,01-02-2021,Less than $100,Yes,Less than $50,Somewhat likely,"gree, blue, red, orange",gree, blue, red, orange
991,03-05-2021,Less than $100,No,,,,,,,
484,01-02-2021,"$501-$1,000",Yes,Less than $50,Very likely,gray,gray,,,
148,03-05-2021,$101-$250,No,,,,,,,
479,none,Less than $100,No,,,,,,,
662,01-02-2021,Less than $100,Yes,$101-$250,Somewhat likely,"Blue, purple",Blue, purple,,
722,01-02-2021,$101-$250,No,,,green,green,,,
588,03-05-2021,"$501-$1,000",No,,,Magenta,Magenta,,,
387,none,$251-$500,No,,,Cyan,Cyan,,,
395,01-02-2021,"$501-$1,000",Yes,Less than $50,Unlikely,"tan, gray",tan, gray,,
800,none,Less than $100,No,,,,,,,
673,03-05-2021,Less than $100,Yes,$101-$250,Somewhat likely,"beige, brown, tan",beige, brown, tan,
494,03-05-2021,"More than $1,000",No,,,,,,,
512,01-02-2021,$101-$250,Yes,$51-$100,Very likely,purple,purple,,,
448,none,"$501-$1,000",Yes,Less than $50,Somewhat likely,Yellow,Yellow,,,
909,none,Less than $100,No,,,,,,,
710,none,"$501-$1,000",Yes,$51-$100,Unlikely,Blue,Blue,,,
267,01-02-2021,$101-$250,No,,,,,,,
935,01-02-2021,Less than $100,Yes,Less than $50,Somewhat likely,"orange, rust, copper",orange, rust, copper,
407,none,Less than $100,No,,,,,,,
884,01-02-2021,$101-$250,Yes,$51-$100,Very likely,Green,Green,,,
401,7 or more,Less than $100,Yes,Less than $50,Very likely,Silver,Silver,,,
507,none,"$501-$1,000",No,,,,,,,
113,none,$101-$250,No,,,,,,,
890,none,Less than $100,Yes,$101-$250,Somewhat likely,"tan, gray",tan, gray,,
142,03-05-2021,Less than $100,Yes,Less than $50,,lime,lime,,,
126,03-05-2021,$101-$250,No,,,indigo,indigo,,,
109,01-02-2021,"$501-$1,000",No,,,pink,pink,,,
729,01-02-2021,$251-$500,No,,,,,,,
724,01-02-2021,"$501-$1,000",Yes,Less than $50,Somewhat likely,"green, blue",green, blue,,
303,none,Less than $100,Yes,$101-$250,Somewhat likely,purple,purple,,,
859,01-02-2021,Less than $100,No,,,olive,olive,,,
655,01-02-2021,"More than $1,000",No,,,maroon,maroon,,,
175,03-05-2021,$101-$250,Yes,Less than $50,Very likely,Navy,Navy,,,
565,01-02-2021,"$501-$1,000",,,,,,,,
302,01-02-2021,$101-$250,No,,,purple,purple,,,
290,01-02-2021,Less than $100,Yes,Less than $50,Somewhat likely,Yellow,Yellow,,,
